Match Number,Round Number,Date,Location,Home Team,Away Team,Result
140,16,28/12/2024 15:30,Estádio do Clube Desportivo das Aves,AFS,Estrela Amadora,1 - 1
138,16,28/12/2024 18:00,Estádio António Coimbra da Mota,Estoril Praia,Moreirense FC,2 - 2
142,16,28/12/2024 20:30,Estádio do Dragão,FC Porto,Boavista FC,4 - 0
139,16,29/12/2024 15:30,Estádio de São Luís,SC Farense,Vitória SC,2 - 2
143,16,29/12/2024 15:30,Estádio do Rio Ave Futebol Clube,Rio Ave FC,CD Nacional,2 - 1
136,16,29/12/2024 18:00,Estádio Municipal de Braga,SC Braga,Casa Pia AC,1 - 2
141,16,29/12/2024 20:30,Estádio José Alvalade,Sporting CP,SL Benfica,1 - 0
144,16,30/12/2024 20:15,Estádio Municipal de Famalicão,FC Famalicão,Santa Clara,1 - 2
147,17,03/01/2025 20:15,Estádio D. Afonso Henriques,Vitória SC,Sporting CP,4 - 4
153,17,04/01/2025 15:30,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,AFS,1 - 1
146,17,04/01/2025 18:00,Estádio do Sport Lisboa e Benfica,SL Benfica,SC Braga,1 - 2
152,17,04/01/2025 20:30,Estádio do Bessa Sec. XXI,Boavista FC,FC Arouca,1 - 3
145,17,05/01/2025 15:30,Estádio de São Miguel,Santa Clara,SC Farense,0 - 0
148,17,05/01/2025 18:00,Estádio Municipal de Rio Maior,Casa Pia AC,FC Famalicão,1 - 1
150,17,05/01/2025 20:30,Estádio José Gomes,Estrela Amadora,Estoril Praia,2 - 4
149,17,06/01/2025 20:15,Estádio Cidade de Barcelos,Gil Vicente FC,Rio Ave FC,1 - 1
151,17,12/01/2025 15:30,Estádio da Madeira,CD Nacional,FC Porto,2 - 0
159,18,17/01/2025 20:15,Estádio do Sport Lisboa e Benfica,SL Benfica,FC Famalicão,4 - 0
154,18,18/01/2025 15:30,Estádio de São Miguel,Santa Clara,Estoril Praia,2 - 3
161,18,18/01/2025 18:00,Estádio do Rio Ave Futebol Clube,Rio Ave FC,Sporting CP,0 - 3
156,18,18/01/2025 20:30,Estádio D. Afonso Henriques,Vitória SC,FC Arouca,2 - 2
157,18,19/01/2025 15:30,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,SC Farense,0 - 0
158,18,19/01/2025 15:30,Estádio da Madeira,CD Nacional,AFS,3 - 1
155,18,19/01/2025 18:00,Estádio José Gomes,Estrela Amadora,SC Braga,0 - 1
162,18,19/01/2025 20:30,Estádio Cidade de Barcelos,Gil Vicente FC,FC Porto,3 - 1
160,18,20/01/2025 20:15,Estádio do Bessa Sec. XXI,Boavista FC,Casa Pia AC,2 - 3
168,19,24/01/2025 20:15,Estádio Municipal de Arouca,FC Arouca,Moreirense FC,1 - 0
165,19,25/01/2025 15:30,Estádio Municipal de Famalicão,FC Famalicão,Estrela Amadora,0 - 0
170,19,25/01/2025 15:30,Estádio de São Luís,SC Farense,Rio Ave FC,1 - 2
163,19,25/01/2025 18:00,Estádio Municipal de Rio Maior,Casa Pia AC,SL Benfica,3 - 1
166,19,25/01/2025 20:30,Estádio José Alvalade,Sporting CP,CD Nacional,2 - 0
169,19,26/01/2025 15:30,Estádio António Coimbra da Mota,Estoril Praia,Vitória SC,1 - 0
167,19,26/01/2025 18:00,Estádio do Dragão,FC Porto,Santa Clara,1 - 1
164,19,26/01/2025 20:30,Estádio Municipal de Braga,SC Braga,Boavista FC,3 - 0
171,19,27/01/2025 20:15,Estádio do Clube Desportivo das Aves,AFS,Gil Vicente FC,1 - 0
180,20,31/01/2025 20:15,Estádio do Bessa Sec. XXI,Boavista FC,FC Famalicão,0 - 2
172,20,01/02/2025 15:30,Estádio de São Miguel,Santa Clara,Casa Pia AC,2 - 1
176,20,01/02/2025 15:30,Estádio da Madeira,CD Nacional,FC Arouca,1 - 2
177,20,01/02/2025 18:00,Estádio Cidade de Barcelos,Gil Vicente FC,Estoril Praia,1 - 2
179,20,01/02/2025 20:30,Estádio D. Afonso Henriques,Vitória SC,AFS,2 - 0
178,20,02/02/2025 18:00,Estádio José Alvalade,Sporting CP,SC Farense,3 - 1
173,20,02/02/2025 20:30,Estádio José Gomes,Estrela Amadora,SL Benfica,2 - 3
175,20,03/02/2025 18:45,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,SC Braga,1 - 2
174,20,03/02/2025 20:45,Estádio do Rio Ave Futebol Clube,Rio Ave FC,FC Porto,2 - 2
183,21,07/02/2025 20:15,Estádio do Dragão,FC Porto,Sporting CP,1 - 1
189,21,08/02/2025 15:30,Estádio do Clube Desportivo das Aves,AFS,Santa Clara,1 - 2
182,21,08/02/2025 18:00,Estádio do Sport Lisboa e Benfica,SL Benfica,Moreirense FC,3 - 2
188,21,08/02/2025 20:30,Estádio Municipal de Famalicão,FC Famalicão,Vitória SC,0 - 0
181,21,09/02/2025 15:30,Estádio António Coimbra da Mota,Estoril Praia,Boavista FC,2 - 1
187,21,09/02/2025 15:30,Estádio de São Luís,SC Farense,CD Nacional,0 - 2
184,21,09/02/2025 18:00,Estádio Municipal de Braga,SC Braga,Gil Vicente FC,2 - 0
186,21,09/02/2025 20:30,Estádio Municipal de Rio Maior,Casa Pia AC,Estrela Amadora,1 - 0
185,21,10/02/2025 20:15,Estádio Municipal de Arouca,FC Arouca,Rio Ave FC,1 - 1
197,22,14/02/2025 20:15,Estádio do Bessa Sec. XXI,Boavista FC,Estrela Amadora,0 - 1
193,22,15/02/2025 15:30,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,Casa Pia AC,3 - 2
194,22,15/02/2025 17:00,Estádio da Madeira,CD Nacional,Estoril Praia,2 - 2
190,22,15/02/2025 18:00,Estádio de São Miguel,Santa Clara,SL Benfica,0 - 1
192,22,15/02/2025 20:30,Estádio José Alvalade,Sporting CP,FC Arouca,2 - 2
196,22,16/02/2025 15:30,Estádio do Rio Ave Futebol Clube,Rio Ave FC,AFS,1 - 1
198,22,16/02/2025 18:00,Estádio de São Luís,SC Farense,FC Porto,0 - 1
191,22,16/02/2025 20:30,Estádio D. Afonso Henriques,Vitória SC,SC Braga,0 - 0
195,22,17/02/2025 20:15,Estádio Cidade de Barcelos,Gil Vicente FC,FC Famalicão,0 - 2
202,23,21/02/2025 20:15,Estádio Municipal de Braga,SC Braga,CD Nacional,1 - 0
204,23,22/02/2025 15:30,Estádio Municipal de Rio Maior,Casa Pia AC,Gil Vicente FC,1 - 0
201,23,22/02/2025 18:00,Estádio do Sport Lisboa e Benfica,SL Benfica,Boavista FC,3 - 0
